Sub-Category,Sales,Profit,Quantity
Phones,330007.054,44515.7306,3289
Chairs,327777.761,26567.1278,2351
Storage,223843.608,21278.8264,3158
Tables,206965.532,-17725.4811,1241
Binders,203409.169,30228.0003,5971
Machines,189238.631,3384.7569,440
Accessories,167380.318,41936.6357,2976
Copiers,149528.03,55617.8249,234
Bookcases,114879.9963,-3472.556,868
Appliances,107532.16100000001,18138.005400000002,1729
Furnishings,91683.024,13052.723,3560
Paper,78224.14199999999,33944.2395,5144
Supplies,46673.538,-1189.0995,647
Art,27107.032,6524.6118,2996
Envelopes,16476.402,6964.1767,906
Labels,12444.912,5526.382,1396
Fasteners,3024.28,949.5182,914
